,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
131,1902487,1902491,48.75870132446289,-18.862363815307617,461.83466,42.234215,14.949738,33.000896,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
132,1902527,1902531,48.757957458496094,-18.85516357421875,321.13223,12.321349,7.6628113,12.710962,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
134,1902672,1902676,48.75524139404297,-18.82906150817871,383.12265,94.63819,18.66684,24.993563,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
135,1902692,1902696,48.75486755371094,-18.825462341308597,292.6215,2.765427,15.413361,3.5829859,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
136,1902697,1902701,48.75477600097656,-18.824562072753903,294.19754,1.7666507,13.185211,2.459658,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
137,1902702,1902706,48.75468444824219,-18.82366180419922,302.10532,3.1789682,17.051147,4.331234,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
138,1902802,1902806,48.75278472900391,-18.8056640625,192.30212,5.05874,13.129013,6.0350957,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
139,1902822,1902826,48.75240707397461,-18.80206298828125,185.58281,12.382719,11.304977,8.076827,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
140,1902827,1902831,48.7523078918457,-18.801164627075195,168.39893,9.813785,16.358566,7.684525,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
142,1902867,1902871,48.75154113769531,-18.793964385986328,105.88915,3.6263628,22.975578,5.0265017,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
143,1902877,1902881,48.7513542175293,-18.792165756225582,75.46507,1.0810629,22.32322,1.5622953,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
144,1902882,1902886,48.75125503540039,-18.7912654876709,72.888084,0.20735048,14.387352,0.31709293,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
146,1902892,1902896,48.75106430053711,-18.789464950561523,69.616714,1.1274601,19.827614,1.5339125,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
147,1902897,1902901,48.7509651184082,-18.78856658935547,34.815098,0.30368093,33.159946,0.1724303,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
